main_sound,level,hanja,meaning,radical,strokes,total_strokes
감,6급,感,"[[['느낄'], ['감']]]",心,9,13
강,6급,強,"[[['강할'], ['강']]]",弓,8,11
개,6급,開,"[[['열'], ['개']]]",門,4,12
경,6급,京,"[[['서울'], ['경']]]",亠,6,8
고,6급,古,"[[['예'], ['고']]]",口,2,5
고,6급,苦,"[[['쓸[味覺]'], ['고']]]",艸,5,9
교,6급,交,"[[['사귈'], ['교']]]",亠,4,6
구,6급,區,"[[['구분할', '지경'], ['구']]]",匸,9,11
군,6급,郡,"[[['고을'], ['군']]]",邑,7,10
근,6급,根,"[[['뿌리'], ['근']]]",木,6,10
근,6급,近,"[[['가까울'], ['근']]]",辵,4,8
급,6급,級,"[[['등급'], ['급']]]",糸,4,10
다,6급,多,"[[['많을'], ['다']]]",夕,3,6
대,6급,待,"[[['기다릴'], ['대']]]",彳,6,9
도,6급,度,"[[['법도'], ['도']], [['헤아릴'], ['탁']]]",广,6,9
두,6급,頭,"[[['머리'], ['두']]]",頁,7,16
례,6급,例,"[[['법식'], ['례']]]",人,6,8
례,6급,禮,"[[['예도'], ['례']]]",示,13,18
로,6급,路,"[[['길'], ['로']]]",足,6,13
록,6급,綠,"[[['푸를'], ['록']]]",糸,8,14
리,6급,李,"[[['오얏', '성(姓)'], ['리']]]",木,3,7
목,6급,目,"[[['눈'], ['목']]]",目,0,5
미,6급,美,"[[['아름다울'], ['미']]]",羊,3,9
미,6급,米,"[[['쌀'], ['미']]]",米,0,6
박,6급,朴,"[[['성(姓)'], ['박']]]",木,2,6
번,6급,番,"[[['차례'], ['번']]]",田,7,12
별,6급,別,"[[['다를', '나눌'], ['별']]]",刀,5,7
병,6급,病,"[[['병'], ['병']]]",疒,5,10
복,6급,服,"[[['옷'], ['복']]]",月,4,8
본,6급,本,"[[['근본'], ['본']]]",木,1,5
사,6급,使,"[[['하여금', '부릴'], ['사']]]",人,6,8
사,6급,死,"[[['죽을'], ['사']]]",歹,2,6
석,6급,席,"[[['자리'], ['석']]]",巾,7,10
석,6급,石,"[[['돌'], ['석']]]",石,0,5
속,6급,速,"[[['빠를'], ['속']]]",辵,7,11
손,6급,孫,"[[['손자'], ['손']]]",子,7,10
수,6급,樹,"[[['나무'], ['수']]]",木,12,16
습,6급,習,"[[['익힐'], ['습']]]",羽,5,11
승,6급,勝,"[[['이길'], ['승']]]",力,10,12
식,6급,式,"[[['법'], ['식']]]",弋,3,6
실,6급,失,"[[['잃을'], ['실']]]",大,2,5
애,6급,愛,"[[['사랑'], ['애']]]",心,9,13
야,6급,夜,"[[['밤'], ['야']]]",夕,5,8
야,6급,野,"[[['들[坪]'], ['야']]]",里,4,11
양,6급,陽,"[[['볕'], ['양']]]",阜,9,12
양,6급,洋,"[[['큰바다'], ['양']]]",水,6,9
언,6급,言,"[[['말씀'], ['언']]]",言,0,7
영,6급,英,"[[['꽃부리'], ['영']]]",艸,5,9
영,6급,永,"[[['길'], ['영']]]",水,1,5
온,6급,溫,"[[['따뜻할'], ['온']]]",水,10,13
원,6급,園,"[[['동산'], ['원']]]",囗,10,13
원,6급,遠,"[[['멀'], ['원']]]",辵,10,14
유,6급,由,"[[['말미암을'], ['유']]]",田,0,5
유,6급,油,"[[['기름'], ['유']]]",水,5,8
은,6급,銀,"[[['은'], ['은']]]",金,6,14
의,6급,醫,"[[['의원'], ['의']]]",酉,11,18
의,6급,衣,"[[['옷'], ['의']]]",衣,0,6
자,6급,者,"[[['놈'], ['자']]]",老,5,9
장,6급,章,"[[['글'], ['장']]]",立,6,11
재,6급,在,"[[['있을'], ['재']]]",土,3,6
정,6급,定,"[[['정할'], ['정']]]",宀,5,8
조,6급,朝,"[[['아침'], ['조']]]",月,8,12
족,6급,族,"[[['겨레'], ['족']]]",方,7,11
주,6급,晝,"[[['낮'], ['주']]]",日,7,11
친,6급,親,"[[['친할'], ['친']]]",見,9,16
태,6급,太,"[[['클'], ['태']]]",大,1,4
통,6급,通,"[[['통할'], ['통']]]",辵,7,11
특,6급,特,"[[['특별할'], ['특']]]",牛,6,10
합,6급,合,"[[['합할'], ['합']]]",口,3,6
행,6급,行,"[[['다닐'], ['행']], [['항렬'], ['항']]]",行,0,6
향,6급,向,"[[['향할'], ['향']]]",口,3,6
호,6급,號,"[[['이름'], ['호']]]",虍,7,13
화,6급,畫,"[[['그림'], ['화']], [['그을'], ['획(劃)']]]",田,7,12
황,6급,黃,"[[['누를'], ['황']]]",黃,0,12
훈,6급,訓,"[[['가르칠'], ['훈']]]",言,3,10
