main_sound,level,hanja,meaning,radical,strokes,total_strokes
가,특급,斝,"[[['옥잔'], ['가']]]",斗,8,12
가,특급,葭,"[[['갈대'], ['가']], [['멀'], ['하']]]",艸,9,13
가,특급,檟,"[[['가나무'], ['가']]]",木,13,17
가,특급,哿,"[[['가할'], ['가']]]",口,7,10
가,특급,珈,"[[['머리꾸미개'], ['가']]]",玉,5,9
각,특급,桷,"[[['서까래'], ['각']]]",木,7,11
각,특급,卻,"[[['물리칠'], ['각']]]",卩,7,9
간,특급,蕑,"[[['난초', '연밥'], ['간']]]",艸,12,16
간,특급,玕,"[[['옥돌'], ['간']]]",玉,3,7
간,특급,榦,"[[['줄기'], ['간']], [['우물난간'], ['한']]]",木,10,14
간,특급,瞯,"[[['엿볼'], ['간']], [['곁눈질할'], ['한']]]",目,12,17
간,특급,衎,"[[['즐길', '곧을'], ['간']]]",行,3,9
갈,특급,秸,"[[['볏짚'], ['갈']]]",禾,6,11
감,특급,矙,"[[['엿볼'], ['감']]]",目,20,25
감,특급,欿,"[[['서운할'], ['감']]]",欠,8,12
감,특급,减,"[[['덜'], ['감']]]",冫,9,11
감,특급,酣,"[[['술즐길'], ['감']]]",酉,5,12
감,특급,歛,"[[['바랄'], ['감']]]",欠,13,17
강,특급,橿,"[[['참죽나무'], ['강']]]",木,13,17
강,특급,杠,"[[['깃대'], ['강']]]",木,3,7
개,특급,湝,"[[['물흐를'], ['개']]]",水,9,12
개,특급,喈,"[[['새소리', '빠를'], ['개']]]",口,9,12
개,특급,槩,"[[['평미레'], ['개']]]",木,11,15
개,특급,玠,"[[['큰홀'], ['개']]]",玉,4,8
개,특급,嘅,"[[['탄식할'], ['개']]]",口,11,14
갱,특급,鏗,"[[['금석소리'], ['갱']]]",金,11,19
갱,특급,賡,"[[['이을'], ['갱']]]",貝,8,15
갱,특급,硜,"[[['돌소리'], ['갱']]]",石,7,12
갱,특급,秔,"[[['메벼'], ['갱']]]",禾,4,9
갹,특급,臄,"[[['순대'], ['갹']]]",肉,13,17
거,특급,虡,"[[['쇠북걸이틀'], ['거']]]",虍,8,14
거,특급,籧,"[[['대자리'], ['거']]]",竹,17,23
거,특급,筥,"[[['광주리'], ['거']], [['밥통'], ['려']]]",竹,7,13
거,특급,蘧,"[[['패랭이꽃'], ['거']]]",艸,17,21
거,특급,莒,"[[['나라이름'], ['거']]]",艸,7,11
거,특급,琚,"[[['패옥'], ['거']]]",玉,8,12
거,특급,秬,"[[['검은기장'], ['거']]]",禾,5,10
거,특급,袪,"[[['소매'], ['거']]]",衣,5,10
거,특급,椐,"[[['느티나무'], ['거']]]",木,8,12
건,특급,褰,"[[['걷을'], ['건']]]",衣,10,16
걸,특급,朅,"[[['떠날'], ['걸']]]",曰,10,14
겁,특급,跲,"[[['엎드러질'], ['겁']]]",足,6,13
게,특급,愒,"[[['쉴'], ['게']], [['탐할'], ['개']]]",心,9,12
격,특급,綌,"[[['굵은갈포'], ['격']]]",糸,7,13
격,특급,繳,"[[['주살'], ['격']], [['동일'], ['교']]]",糸,13,19
격,특급,鵙,"[[['왜가리'], ['격']]]",鳥,7,18
격,특급,鴃,"[[['왜가리'], ['격']]]",鳥,4,15
견,특급,豣,"[[['돼지', '노루'], ['견']]]",豕,6,13
견,특급,睊,"[[['흘겨볼'], ['견']]]",目,7,12
견,특급,獧,"[[['뛸'], ['견']], [['급할'], ['현']]]",犬,13,16
견,특급,岍,"[[['산이름'], ['견']]]",山,4,7
견,특급,蠲,"[[['덜', '정결할'], ['견']]]",虫,17,23
견,특급,繾,"[[['곡진할'], ['견']]]",糸,14,20
견,특급,畎,"[[['밭고랑'], ['견']]]",田,4,9
견,특급,狷,"[[['고집스러울'], ['견']]]",犬,7,10
결,특급,袺,"[[['옷섶잡을'], ['결']]]",衣,6,11
결,특급,闋,"[[['마칠'], ['결']]]",門,9,17
결,특급,觼,"[[['쇠고리'], ['결']]]",角,15,22
겸,특급,歉,"[[['흉년들'], ['겸']]]",欠,10,14
겸,특급,蒹,"[[['갈대'], ['겸']]]",艸,10,14
경,특급,罄,"[[['다할'], ['경']]]",缶,11,17
경,특급,睘,"[[['놀라서볼'], ['경']]]",目,8,13
경,특급,鶊,"[[['꾀꼬리'], ['경']]]",鳥,8,19
경,특급,牼,"[[['소정강이뼈'], ['경']]]",牛,7,11
경,특급,冂,"[[['멀'], ['경']]]",冂,0,2
경,특급,黥,"[[['자자(刺字)할'], ['경']]]",黑,8,20
경,특급,褧,"[[['홑옷'], ['경']]]",衣,10,16
경,특급,熲,"[[['빛날'], ['경']]]",火,11,15
경,특급,焭,"[[['외로울'], ['경']]]",火,8,12
경,특급,煢,"[[['외로울'], ['경']]]",火,9,13
경,특급,檠,"[[['등잔걸이'], ['경']]]",木,13,17
경,특급,惸,"[[['근심할'], ['경']]]",心,9,12
경,특급,冏,"[[['빛날'], ['경']]]",冂,5,7
경,특급,駉,"[[['살찌고큰'], ['경']]]",馬,5,15
계,특급,笄,"[[['비녀'], ['계']]]",竹,4,10
계,특급,雞,"[[['닭'], ['계']]]",隹,10,18
계,특급,烓,"[[['화덕'], ['계']]]",火,6,10
고,특급,翶,"[[['노닐'], ['고']]]",羽,12,18
고,특급,楛,"[[['거칠'], ['고']], [['나무이름'], ['호']]]",木,9,13
고,특급,槀,"[[['마른나무'], ['고']]]",木,10,14
고,특급,櫜,"[[['칼집'], ['고']]]",木,15,19
고,특급,盬,"[[['짠못', '마실'], ['고']]]",皿,13,18
고,특급,瞽,"[[['소경'], ['고']]]",目,13,18
고,특급,罟,"[[['그물'], ['고']]]",网,5,10
고,특급,羖,"[[['염소'], ['고']]]",羊,4,10
고,특급,栲,"[[['북나무'], ['고']]]",木,6,10
고,특급,杲,"[[['밝을'], ['고']]]",木,4,8
고,특급,刳,"[[['가를'], ['고']]]",刀,6,8
고,특급,鼛,"[[['큰북'], ['고']]]",鼓,8,21
고,특급,稾,"[[['원고', '볏짚'], ['고']]]",禾,10,15
고,특급,罛,"[[['큰물고기그물'], ['고']]]",网,5,10
고,특급,觚,"[[['술잔'], ['고']]]",角,5,12
고,특급,酤,"[[['단술'], ['고']]]",酉,5,12
고,특급,熇,"[[['말릴'], ['고']]]",火,10,14
곡,특급,觳,"[[['곱송그릴'], ['곡']], [['비교할'], ['각']]]",角,10,17
곡,특급,轂,"[[['수레바퀴통'], ['곡']]]",車,10,17
곡,특급,牿,"[[['외양간'], ['곡']]]",牛,7,11
곤,특급,髡,"[[['머리깎을'], ['곤']]]",髟,3,13
곤,특급,棞,"[[['문지방'], ['곤']]]",木,8,12
곤,특급,錕,"[[['붉은쇠'], ['곤']]]",金,8,16
곤,특급,緄,"[[['띠'], ['곤']], [['오랑캐이름'], ['혼']]]",糸,8,14
곤,특급,鯀,"[[['큰물고기'], ['곤']]]",魚,7,18
공,특급,悾,"[[['정성'], ['공']]]",心,8,11
공,특급,邛,"[[['수고할'], ['공']]]",邑,3,6
과,특급,薖,"[[['너그러울'], ['과']]]",艸,13,17
과,특급,夸,"[[['사치할', '자랑할'], ['과']]]",大,3,6
과,특급,蜾,"[[['나나니벌'], ['과']]]",虫,8,14
과,특급,裹,"[[['쌀'], ['과']]]",衣,8,14
곽,특급,霍,"[[['곽란'], ['곽']]]",雨,8,16
곽,특급,躩,"[[['바삐갈'], ['곽']]]",足,20,27
곽,특급,鞹,"[[['가죽'], ['곽']]]",革,11,20
관,특급,盥,"[[['낯씻을'], ['관']]]",皿,11,16
관,특급,瘝,"[[['앓을'], ['관']]]",疒,9,14
관,특급,痯,"[[['병에지칠'], ['관']]]",疒,8,13
관,특급,鸛,"[[['황새'], ['관']]]",鳥,18,29
관,특급,錧,"[[['비녀장'], ['관']]]",金,8,16
관,특급,祼,"[[['강신제'], ['관']]]",示,8,13
관,특급,丱,"[[['쌍상투'], ['관']]]",丨,4,5
관,특급,綰,"[[['얽을'], ['관']]]",糸,8,14
괄,특급,栝,"[[['전나무'], ['괄']]]",木,6,10
괄,특급,佸,"[[['모일'], ['괄']]]",人,6,8
괄,특급,聒,"[[['떠지껄일'], ['괄']]]",耳,6,12
광,특급,纊,"[[['고운솜'], ['광']]]",糸,15,21
광,특급,誑,"[[['속일'], ['광']]]",言,7,14
광,특급,桄,"[[['광랑나무'], ['광']]]",木,6,10
광,특급,迋,"[[['속일'], ['광']], [['갈'], ['왕']]]",辵,4,8
괴,특급,蕢,"[[['흙덩이'], ['괴']], [['삼태기'], ['궤']]]",艸,12,16
괴,특급,瑰,"[[['옥돌'], ['괴']]]",玉,10,14
괵,특급,虢,"[[['나라이름'], ['괵']]]",虍,9,15
굉,특급,觥,"[[['뿔잔'], ['굉']]]",角,6,13
굉,특급,鞃,"[[['고삐'], ['굉']]]",革,5,14
교,특급,儌,"[[['갈'], ['교']]]",人,13,15
교,특급,敽,"[[['맬'], ['교']]]",攴,12,16
교,특급,荍,"[[['당아욱'], ['교']]]",艸,6,10
교,특급,磽,"[[['자갈땅'], ['교']]]",石,12,17
교,특급,茭,"[[['마른꼴'], ['교']], [['풀뿌리'], ['효']]]",艸,6,10
교,특급,蹻,"[[['발들'], ['교']], [['짚신'], ['갹']]]",足,12,19
교,특급,嘐,"[[['깨물'], ['교']], [['클'], ['효']]]",口,11,14
교,특급,佼,"[[['예쁠', '업신여길'], ['교']]]",人,6,8
교,특급,鷮,"[[['꿩'], ['교']]]",鳥,12,23
교,특급,曒,"[[['밝을'], ['교']]]",日,13,17
교,특급,姣,"[[['아름다울', '아양부릴'], ['교']]]",女,6,9
구,특급,屨,"[[['신'], ['구']]]",尸,14,17
구,특급,嫗,"[[['할미'], ['구']]]",女,11,14
구,특급,俅,"[[['공순할'], ['구']]]",人,7,9
구,특급,劬,"[[['수고할'], ['구']]]",力,5,7
구,특급,姤,"[[['만날'], ['구']]]",女,6,9
구,특급,糗,"[[['미숫가루'], ['구']]]",米,10,16
구,특급,雊,"[[['장끼울'], ['구']]]",隹,5,13
구,특급,觩,"[[['뿔굽을'], ['구']]]",角,7,14
구,특급,艽,"[[['변방'], ['구']], [['진교'], ['교']]]",艸,2,6
구,특급,笱,"[[['통발'], ['구']]]",竹,5,11
구,특급,韭,"[[['부추'], ['구']]]",韭,0,9
구,특급,遘,"[[['만날'], ['구']]]",辵,10,14
구,특급,媾,"[[['겹혼인', '화친할'], ['구']]]",女,10,13
구,특급,裘,"[[['갖옷'], ['구']]]",衣,7,13
구,특급,彀,"[[['활당길'], ['구']]]",弓,10,13
구,특급,窶,"[[['가난할'], ['구']], [['기울어진땅'], ['루']]]",穴,11,16
구,특급,疚,"[[['오랜병'], ['구']]]",疒,3,8
구,특급,璆,"[[['옥경쇠'], ['구']]]",玉,11,15
구,특급,漚,"[[['물거품'], ['구']]]",水,11,14
구,특급,搆,"[[['얽을'], ['구']]]",手,10,13
구,특급,捄,"[[['흙파올릴'], ['구']]]",手,7,10
구,특급,扣,"[[['두드릴'], ['구']]]",手,3,6
구,특급,覯,"[[['만나볼'], ['구']]]",見,10,17
국,특급,匊,"[[['움큼'], ['국']]]",勹,6,8
굴,특급,詘,"[[['말막힐'], ['굴']], [['내칠'], ['출']]]",言,5,12
권,특급,棬,"[[['나무그릇'], ['권']]]",木,8,12
권,특급,睠,"[[['돌아볼'], ['권']]]",目,8,13
권,특급,綣,"[[['정다울'], ['권']]]",糸,8,14
권,특급,鬈,"[[['머리고울'], ['권']]]",髟,8,18
궤,특급,垝,"[[['무너질'], ['궤']]]",土,6,9
궤,특급,匱,"[[['갑(匣)', '다할'], ['궤']]]",匚,12,14
궤,특급,氿,"[[['구멍샘'], ['궤']]]",水,2,5
궤,특급,簋,"[[['제기(祭器)이름'], ['궤']]]",竹,11,17
궤,특급,跪,"[[['꿇어앉을'], ['궤']]]",足,6,13
궤,특급,餽,"[[['먹일'], ['궤']]]",食,10,19
궤,특급,匭,"[[['상자'], ['궤']]]",匚,9,11
궤,특급,簣,"[[['삼태기'], ['궤']]]",竹,12,18
귀,특급,宄,"[[['간악할'], ['귀']]]",宀,2,5
규,특급,闚,"[[['엿볼'], ['규']]]",門,11,19
규,특급,糺,"[[['살필'], ['규']]]",糸,1,7
규,특급,戣,"[[['창'], ['규']]]",戈,9,13
규,특급,頍,"[[['머리들'], ['규']]]",頁,4,13
규,특급,睽,"[[['어그러질', '반목할'], ['규']]]",目,9,14
규,특급,樛,"[[['휠'], ['규']]]",木,11,15
규,특급,刲,"[[['찌를', '벨'], ['규']]]",刀,6,8
규,특급,騤,"[[['말건장할'], ['규']]]",馬,9,19
규,특급,頄,"[[['광대뼈'], ['규']], [['광대뼈'], ['구']]]",頁,2,11
균,특급,麕,"[[['노루'], ['균']]]",鹿,8,19
균,특급,箘,"[[['죽순'], ['균']]]",竹,8,14
극,특급,殛,"[[['귀양보낼'], ['극']]]",歹,9,13
극,특급,亟,"[[['빠를'], ['극']], [['자주'], ['기']]]",二,7,9
극,특급,郤,"[[['틈'], ['극']]]",邑,7,10
