main_sound,level,hanja,meaning,radical,strokes,total_strokes
가,특급Ⅱ,痂,"[[['헌데딱지'], ['가']]]",疒,5,10
가,특급Ⅱ,珂,"[[['옥이름'], ['가']]]",玉,5,9
가,특급Ⅱ,茄,"[[['가지'], ['가']]]",艸,5,9
가,특급Ⅱ,訶,"[[['꾸짖을'], ['가']]]",言,5,12
가,특급Ⅱ,跏,"[[['책상다리할'], ['가']]]",足,5,12
가,특급Ⅱ,枷,"[[['칼', '도리깨'], ['가']]]",木,5,9
각,특급Ⅱ,慤,"[[['정성', '삼갈'], ['각']]]",心,11,15
간,특급Ⅱ,稈,"[[['볏짚'], ['간']]]",禾,7,12
간,특급Ⅱ,磵,"[[['시내[澗]'], ['간']]]",石,12,17
간,특급Ⅱ,桿,"[[['막대'], ['간']]]",木,7,11
간,특급Ⅱ,柬,"[[['가릴'], ['간']]]",木,5,9
간,특급Ⅱ,侃,"[[['강직할'], ['간']]]",人,6,8
갈,특급Ⅱ,碣,"[[['비석'], ['갈']]]",石,9,14
갈,특급Ⅱ,曷,"[[['어찌'], ['갈']]]",曰,5,9
갈,특급Ⅱ,乫,"[[['땅이름'], ['갈']]]",乙,5,6
갈,특급Ⅱ,蝎,"[[['전갈'], ['갈']]]",虫,9,15
감,특급Ⅱ,嵌,"[[['끼울'], ['감']]]",山,9,12
감,특급Ⅱ,坎,"[[['구덩이'], ['감']]]",土,4,7
감,특급Ⅱ,橄,"[[['감람나무'], ['감']]]",木,12,16
감,특급Ⅱ,鑒,"[[['거울[鑑]'], ['감']]]",金,14,22
감,특급Ⅱ,戡,"[[['이길'], ['감']]]",戈,9,13
감,특급Ⅱ,龕,"[[['감실'], ['감']]]",龍,6,22
갑,특급Ⅱ,胛,"[[['어깻죽지'], ['갑']]]",肉,5,9
강,특급Ⅱ,絳,"[[['짙게붉을'], ['강']]]",糸,6,12
강,특급Ⅱ,羌,"[[['오랑캐'], ['강']]]",羊,2,8
강,특급Ⅱ,鱇,"[[['아귀'], ['강']]]",魚,11,22
강,특급Ⅱ,畺,"[[['지경[疆]'], ['강']]]",田,8,13
강,특급Ⅱ,强,"[[['강할[強]'], ['강']]]",弓,9,12
강,특급Ⅱ,堈,"[[['독'], ['강']]]",土,8,11
강,특급Ⅱ,舡,"[[['배'], ['강']]]",舟,3,9
강,특급Ⅱ,襁,"[[['포대기'], ['강']]]",衣,11,16
개,특급Ⅱ,疥,"[[['옴'], ['개']]]",疒,4,9
개,특급Ⅱ,盖,"[[['덮을[蓋]'], ['개']]]",皿,6,11
개,특급Ⅱ,鎧,"[[['갑옷'], ['개']]]",金,10,18
개,특급Ⅱ,愷,"[[['즐거울'], ['개']]]",心,10,13
객,특급Ⅱ,喀,"[[['토할'], ['객']]]",口,9,12
