main_sound,level,hanja,meaning,radical,strokes,total_strokes
가,7급Ⅱ,家,"[[['집'], ['가']]]",宀,7,10
가,7급,歌,"[[['노래'], ['가']]]",欠,10,14
가,5급Ⅱ,價,"[[['값'], ['가']]]",人,13,15
가,5급,加,"[[['더할'], ['가']]]",力,3,5
가,5급,可,"[[['옳을'], ['가']]]",口,2,5
가,4급Ⅱ,假,"[[['거짓'], ['가']]]",人,9,11
가,4급Ⅱ,街,"[[['거리'], ['가']]]",行,6,12
가,4급,暇,"[[['틈', '겨를'], ['가']]]",日,9,13
가,3급Ⅱ,佳,"[[['아름다울'], ['가']]]",人,6,8
가,3급Ⅱ,架,"[[['시렁'], ['가']]]",木,5,9
가,2급,柯,"[[['가지'], ['가']]]",木,5,9
가,2급,賈,"[[['성(姓)'], ['가']], [['장사'], ['고']]]",貝,6,13
가,2급,軻,"[[['수레', '사람이름'], ['가']]]",車,5,12
가,2급,迦,"[[['부처이름'], ['가']]]",辵,5,9
가,2급,伽,"[[['절'], ['가']]]",人,5,7
가,1급,嘉,"[[['아름다울'], ['가']]]",口,11,14
가,1급,呵,"[[['꾸짖을'], ['가']]]",口,5,8
가,1급,嫁,"[[['시집갈'], ['가']]]",女,10,13
가,1급,稼,"[[['심을'], ['가']]]",禾,10,15
가,1급,苛,"[[['가혹할'], ['가']]]",艸,5,9
가,1급,袈,"[[['가사(袈裟)'], ['가']]]",衣,5,11
가,1급,駕,"[[['멍에'], ['가']]]",馬,5,15
가,1급,哥,"[[['성(姓)'], ['가']]]",口,7,10
가,특급Ⅱ,痂,"[[['헌데딱지'], ['가']]]",疒,5,10
가,특급Ⅱ,珂,"[[['옥이름'], ['가']]]",玉,5,9
가,특급Ⅱ,茄,"[[['가지'], ['가']]]",艸,5,9
가,특급Ⅱ,訶,"[[['꾸짖을'], ['가']]]",言,5,12
가,특급Ⅱ,跏,"[[['책상다리할'], ['가']]]",足,5,12
가,특급Ⅱ,枷,"[[['칼', '도리깨'], ['가']]]",木,5,9
가,특급,斝,"[[['옥잔'], ['가']]]",斗,8,12
가,특급,葭,"[[['갈대'], ['가']], [['멀'], ['하']]]",艸,9,13
가,특급,檟,"[[['가나무'], ['가']]]",木,13,17
가,특급,哿,"[[['가할'], ['가']]]",口,7,10
가,특급,珈,"[[['머리꾸미개'], ['가']]]",玉,5,9
각,6급Ⅱ,各,"[[['각각'], ['각']]]",口,3,6
각,6급Ⅱ,角,"[[['뿔'], ['각']]]",角,0,7
각,4급,刻,"[[['새길'], ['각']]]",刀,6,8
각,4급,覺,"[[['깨달을'], ['각']]]",見,13,20
각,3급Ⅱ,脚,"[[['다리'], ['각']]]",肉,7,11
각,3급Ⅱ,閣,"[[['집'], ['각']]]",門,6,14
각,3급,却,"[[['물리칠'], ['각']]]",卩,5,7
각,2급,珏,"[[['쌍옥'], ['각']]]",玉,5,9
각,1급,恪,"[[['삼갈'], ['각']]]",心,6,9
각,1급,殼,"[[['껍질'], ['각']]]",殳,8,12
각,특급Ⅱ,慤,"[[['정성', '삼갈'], ['각']]]",心,11,15
각,특급,桷,"[[['서까래'], ['각']]]",木,7,11
각,특급,卻,"[[['물리칠'], ['각']]]",卩,7,9
간,7급Ⅱ,間,"[[['사이'], ['간']]]",門,4,12
간,4급,簡,"[[['대쪽', '간략할'], ['간']]]",竹,12,18
간,4급,看,"[[['볼'], ['간']]]",目,4,9
간,4급,干,"[[['방패'], ['간']]]",干,0,3
간,3급Ⅱ,刊,"[[['새길'], ['간']]]",刀,3,5
간,3급Ⅱ,幹,"[[['줄기'], ['간']]]",干,10,13
간,3급Ⅱ,懇,"[[['간절할'], ['간']]]",心,13,17
간,3급Ⅱ,肝,"[[['간'], ['간']]]",肉,3,7
간,3급,姦,"[[['간음할'], ['간']]]",女,6,9
간,2급,杆,"[[['몽둥이'], ['간']]]",木,3,7
간,2급,艮,"[[['괘이름'], ['간']]]",艮,0,6
간,1급,奸,"[[['간사할'], ['간']]]",女,3,6
간,1급,墾,"[[['개간할'], ['간']]]",土,13,16
간,1급,澗,"[[['산골물'], ['간']]]",水,12,15
간,1급,癎,"[[['간질'], ['간']]]",疒,12,17
간,1급,竿,"[[['낚싯대'], ['간']]]",竹,3,9
간,1급,艱,"[[['어려울'], ['간']]]",艮,11,17
간,1급,諫,"[[['간할'], ['간']]]",言,9,16
간,1급,揀,"[[['가릴'], ['간']]]",手,9,12
간,특급Ⅱ,稈,"[[['볏짚'], ['간']]]",禾,7,12
간,특급Ⅱ,磵,"[[['시내[澗]'], ['간']]]",石,12,17
간,특급Ⅱ,桿,"[[['막대'], ['간']]]",木,7,11
간,특급Ⅱ,柬,"[[['가릴'], ['간']]]",木,5,9
간,특급Ⅱ,侃,"[[['강직할'], ['간']]]",人,6,8
간,특급,蕑,"[[['난초', '연밥'], ['간']]]",艸,12,16
간,특급,玕,"[[['옥돌'], ['간']]]",玉,3,7
간,특급,榦,"[[['줄기'], ['간']], [['우물난간'], ['한']]]",木,10,14
간,특급,瞯,"[[['엿볼'], ['간']], [['곁눈질할'], ['한']]]",目,12,17
간,특급,衎,"[[['즐길', '곧을'], ['간']]]",行,3,9
갈,3급,渴,"[[['목마를'], ['갈']]]",水,9,12
갈,2급,葛,"[[['칡'], ['갈']]]",艸,9,13
갈,2급,鞨,"[[['오랑캐이름'], ['갈']]]",革,9,18
갈,1급,喝,"[[['꾸짖을'], ['갈']]]",口,9,12
갈,1급,竭,"[[['다할'], ['갈']]]",立,9,14
갈,1급,褐,"[[['갈색', '굵은베'], ['갈']]]",衣,9,14
갈,특급Ⅱ,碣,"[[['비석'], ['갈']]]",石,9,14
갈,특급Ⅱ,曷,"[[['어찌'], ['갈']]]",曰,5,9
갈,특급Ⅱ,乫,"[[['땅이름'], ['갈']]]",乙,5,6
갈,특급Ⅱ,蝎,"[[['전갈'], ['갈']]]",虫,9,15
갈,특급,秸,"[[['볏짚'], ['갈']]]",禾,6,11
감,6급,感,"[[['느낄'], ['감']]]",心,9,13
감,4급Ⅱ,減,"[[['덜'], ['감']]]",水,9,12
감,4급Ⅱ,監,"[[['볼'], ['감']]]",皿,9,14
감,4급,甘,"[[['달'], ['감']]]",甘,0,5
